City_Name,Year_T,Unempl_Rate,Prop_in_Sec_Ind,Pop_Density,GRP,GRP_Growth,Prop_of_Sci_Exp,Prop_of_Edu_Exp,Num_of_School,Avg_Income,Net_Flow_T+1
Fuzhou,2003,0.042,0.299,200,1684110,0.126,0.207,0.003,2,8111.65,-0.0013
Yichun,2003,0.027,0.34,283,2494974,0.128,0.215,0.003,2,9256.39,-0.0036
Ji'an,2003,0.05,0.27,183.15,2067244,0.136,0.228,0.002,3,8773.45,-0.0028
Ganzhou,2003,0.032,0.322,211,3450595,0.125,0.178,0.003,5,9311.72,0.0048
Yingtan,2003,0.037,0.405,300,797237,0.182,0.161,0.002,1,11448.45,0.0052
Xinyu,2003,0.01,0.324,344,1091000,0.152,0.131,0.003,1,11404.51,-0.0006
Pingxiang,2003,0.068,0.501,471,1428645,0.182,0.164,0.004,2,10343.99,0.0066
Jingdezhen,2003,0.044,0.491,289,1406910,0.156,0.189,0.003,2,9576.86,0.0042
Nanchang,2003,0.037,0.429,606.53,6410248,0.155,0.144,0.004,33,13912.77,0.0152
Ningde,2003,0.042,0.262,242.2,2698690,0.106,0.285,0.005,1,12973.73,-0.0059
Longyan,2003,0.057,0.37,150.51,2943962,0.108,0.25,0.004,2,13442.32,-0.0049
Nanping,2003,0.062,0.347,115.86,2826381,0.111,0.257,0.003,3,11929.06,-0.0063
Zhangzhou,2003,0.028,0.477,360.03,6033969,0.11,0.253,0.003,3,11078.41,-0.0005
Quanzhou,2003,0.006,0.706,609.81,13801105,0.14,0.297,0.005,13,13131.76,-0.0012
Sanming,2003,0.063,0.416,116.58,3206821,0.1,0.277,0.005,1,13962.43,-0.0053
Putian,2003,0.017,0.618,739.99,2627554,0.124,0.414,0.006,1,11698.72,-0.0035
Fuzhou,2003,0.021,0.538,505.4,13476759,0.141,0.22,0.005,31,15052.76,0.0036
Xuancheng,2003,0.044,0.356,223.02,2031763,0.083,0.251,0.002,1,10595.78,-0.0104
Bozhou,2003,0.023,0.248,643.93,1832512,0.023,0.265,0.002,2,7995.76,0.0044
Jiujiang,2003,0.035,0.396,245,3067749,0.15,0.189,0.003,6,9757.53,0.0027
Wuxi,2003,0.028,0.498,924,19012200,0.154,0.152,0.003,9,18928.4,0.0096
Fushun,2003,0.073,0.589,200.03,3148388,0.126,0.134,0.004,3,12022.79,-0.0037
Shanghai,2003,0.041,0.429,2785,62508100,0.118,0.119,0.01,57,27304.58,0.0068
Bayannur,2003,0.057,0.247,27.34,1513733,0.132,0.163,0.006,1,9768.19,0.0101
Erdos,2003,0.032,0.473,15.67,2713973,0.236,0.098,0.003,1,13149.62,0.0022
Tongliao,2003,0.044,0.214,51.95,2381544,0.181,0.167,0.004,1,9445.79,0.0006
Chifeng,2003,0.037,0.336,49.69,2424821,0.19,0.188,0.002,1,9578.02,-0.0027
Wuhai,2003,0.046,0.716,237.17,676298,0.263,0.092,0.003,3,10105.99,0.0077
Hohhot,2003,0.039,0.311,124.18,4062029,0.249,0.127,0.001,17,14116.37,-0.0031
Lvliang,2003,0.006,0.255,165.78,1349617,0.121,0.254,0.002,2,8957.43,0.0001
Linfen,2003,0.016,0.394,202.91,2953034,0.155,0.2,0.002,2,9786.91,0.0021
Xinzhou,2003,0.032,0.318,115.66,1093822,0.13,0.226,0.002,2,7995.09,-0.002
Yuncheng,2003,0.007,0.422,228.43,2936189,0.151,0.23,0.002,1,9819.18,-0.001
Jinzhong,2003,0.016,0.486,185.77,2034428,0.132,0.21,0.001,2,9387.13,0.0002
Shuozhou,2003,0.008,0.455,133.63,1185962,0.131,0.297,0.002,0,9558.86,0.0082
Jincheng,2003,0.016,0.495,223.21,1985067,0.141,0.231,0.003,2,11736.69,-0.002
Ulanqab,2003,0.032,0.167,49.66,1553002,0.293,0.127,0.002,2,11287.64,-0.0012
Changzhi,2003,0.013,0.507,227.96,2556615,0.148,0.211,0.003,3,11008.64,-0.0008
Datong,2003,0.076,0.481,209.47,2515415,0.134,0.194,0.004,4,10303.9,0.0063
Taiyuan,2003,0.039,0.517,468.52,5157089,0.155,0.14,0.003,27,12678.9,0.01
Hengshui,2003,0.011,0.293,468.92,3967576,0.121,0.262,0.004,2,9428.8,-0.0036
Langfang,2003,0.01,0.268,602.33,5285451,0.121,0.248,0.005,9,11327.35,0.002
Cangzhou,2003,0.02,0.339,484,6288615,0.121,0.26,0.004,4,9746.04,-0.0067
Chengde,2003,0.023,0.323,90.79,2349782,0.121,0.225,0.003,5,10761.39,0.0029
Zhangjiakou,2003,0.03,0.422,122.15,3199369,0.115,0.172,0.003,5,10496.24,-0.0038
Baoding,2003,0.03,0.391,523.21,9248071,0.127,0.235,0.002,10,10584.58,0.0024
Xingtai,2003,0.033,0.344,534.55,5146061,0.121,0.239,0.002,4,10100.3,-0.0009
Handan,2003,0.053,0.489,710.57,7625607,0.121,0.234,0.003,3,10041.84,-0.0003
Qinhuangdao,2003,0.035,0.37,363.27,3870301,0.121,0.19,0.002,5,13479.54,0.0068
Tangshan,2003,0.044,0.513,524.26,12953220,0.133,0.18,0.003,11,10322.42,0.0008
Shijiazhuang,2003,0.022,0.428,574.53,13779438,0.125,0.216,0.004,27,12306.11,0.0027
Beijing,2003,0.009,0.321,683.82,36631000,0.107,0.135,0.015,73,25312.37,0.0119
Yangquan,2003,0.019,0.623,275.01,1259180,0.13,0.206,0.003,1,10920.92,0.0007
Nanjing,2003,0.038,0.444,869.39,15763300,0.15,0.115,0.006,39,22190.22,0.0176
Shenyang,2003,0.078,0.406,530.89,16033795,0.142,0.135,0.006,27,14961.14,0.0069
Anshan,2003,0.067,0.576,373.19,7903681,0.131,0.128,0.003,2,12731.41,0.003
Suihua,2003,0.02,0.247,158.88,3498974,0.09,0.29,0.002,1,7810.32,-0.002
Heihe,2003,0.006,0.254,25.25,971388,0.072,0.193,0.002,1,6611.95,-0.001
Mudanjiang,2003,0.031,0.329,66.54,2669036,0.093,0.186,0.002,6,9491.98,-0.0014
Qitaihe,2003,0.058,0.689,140.56,796885,0.12,0.18,0.003,1,9335.19,0.0024
Jiamusi,2003,0.068,0.299,74.83,2008599,0.082,0.204,0.002,2,9088.43,0.0032
Yichun,2003,0.095,0.351,39.69,950709,0.097,0.143,0.004,3,5919.71,-0.0056
Daqing,2003,0.041,0.579,121.54,11256009,0.095,0.102,0.001,3,19702.05,0.012
Shuangyashan,2003,0.016,0.302,67.09,1148876,0.107,0.233,0.002,0,7342.36,-0.0021
Hegang,2003,0.053,0.402,75.49,880058,0.107,0.213,0.002,1,8226.31,-0.0105
Jixi,2003,0.025,0.431,86.33,1691294,0.105,0.276,0.003,1,8662.34,-0.0039
Qiqihar,2003,0.05,0.371,127.41,3501690,0.051,0.324,0.003,3,10080.01,0.0156
Harbin,2003,0.036,0.507,179.83,14147991,0.131,0.186,0.005,32,12451.37,0.0134
Baicheng,2003,0.043,0.309,78.16,1233531,0.148,0.185,0.006,2,8408.42,0.002
Songyuan,2003,0.052,0.357,132.49,2271321,0.148,0.214,0.001,0,10647.06,-0.001
Dalian,2003,0.05,0.478,445.49,16325900,0.152,0.094,0.003,18,17560.15,0.0001
Baishan,2003,0.059,0.411,76.05,1098582,0.086,0.143,0.002,0,8414.93,-0.0191
Liaoyuan,2003,0.111,0.477,241.68,816105,0.14,0.167,0.002,2,8599.91,-0.0033
Siping,2003,0.069,0.274,232.01,2313066,0.15,0.227,0.003,1,7893.59,-0.0011
Changchun,2003,0.045,0.426,349.15,13380369,0.142,0.145,0.002,28,13870.31,0.0039
Huludao,2003,0.06,0.567,260.61,2400291,0.158,0.14,0.002,1,10421.03,0.001
Chaoyang,2003,0.096,0.375,170.82,1198189,0.151,0.189,0.002,1,9642.69,-0.0022
Tieling,2003,0.095,0.443,230.91,1765242,0.156,0.149,0.006,2,9987.98,-0.0004
Panjin,2003,0.022,0.405,305.55,3380089,0.082,0.078,0.003,1,10162.98,-0.0002
Liaoyang,2003,0.071,0.51,384.46,2387762,0.161,0.134,0.004,3,12538.64,-0.0016
Fuxin,2003,0.061,0.423,186.4,1030302,0.202,0.123,0.003,2,9873.11,-0.0023
Yingkou,2003,0.065,0.367,424.29,2533800,0.161,0.128,0.003,2,10920.11,0.0005
Jinzhou,2003,0.073,0.369,298.49,2817002,0.143,0.135,0.005,5,10761.97,-0.0005
Dandong,2003,0.273,0.417,160.49,2329453,0.131,0.176,0.008,2,10639.38,-0.0021
Benxi,2003,0.083,0.614,186.16,2346594,0.136,0.145,0.003,1,11933.66,-0.0006
Tai'an,2003,0.039,0.557,705.55,6040700,0.161,0.173,0.003,5,10401.05,-0.0024
Tonghua,2003,0.036,0.432,148.88,1923723,0.11,0.162,0.005,1,9763.79,-0.0022
Weihai,2003,0.016,0.627,455.54,8360200,0.179,0.145,0.001,3,11215.69,0.002
Chuzhou,2003,0.037,0.348,320.15,3005000,0.034,0.258,0.004,4,8459.61,-0.0054
Laiwu,2003,0.036,0.653,551.56,1700500,0.169,0.19,0.003,2,13243.47,-0.0022
Zunyi,2003,0.053,0.304,238.54,3075252,0.115,0.256,0.002,2,10795.38,0.0059
Liupanshui,2003,0.04,0.578,300.08,1170820,0.137,0.197,0.002,2,11722.8,0.0034
Guiyang,2003,0.035,0.504,434.03,3809191,0.13,0.126,0.004,18,12181.07,0.005
Ziyang,2003,0.053,0.327,612.4,1944489,0.122,0.226,0.001,0,11299.34,-0.0014
Bazhong,2003,0.047,0.323,289.5,1082321,0.123,0.201,0.002,0,9687.43,0.0112
Ya'an,2003,0.048,0.375,100,1003435,0.117,0.142,0.003,2,11080.21,-0.0028
Dazhou,2003,0.085,0.342,379.1,2551400,0.11,0.2,0.003,2,9678.57,0.0072
Guang'an,2003,0.12,0.232,707.01,1763470,0.137,0.196,0.001,0,11109.38,0.0063
Yibin,2003,0.043,0.518,387.72,2910202,0.125,0.173,0.002,2,11279.82,0.0014
Meishan,2003,0.055,0.398,474.1,1740527,0.136,0.206,0.002,1,10785.24,-0.0018
Nanchong,2003,0.048,0.356,575.15,2503236,0.122,0.245,0.003,4,9568.84,0.0086
Leshan,2003,0.036,0.513,271.04,2155616,0.134,0.172,0.003,1,10521.94,-0.0013
Suining,2003,0.098,0.525,707.4,1591880,0.117,0.217,0.002,1,8836.65,0.0051
Guangyuan,2003,0.046,0.366,186.4,1040781,0.1,0.204,0.002,0,9366.71,-0.0012
Kunming,2003,0.017,0.399,237.22,8120121,0.103,0.139,0.003,22,14255.1,0.0019
Mianyang,2003,0.061,0.463,260.5,3965792,0.102,0.137,0.002,5,11447.16,0.0026
Panzhihua,2003,0.046,0.728,142.9,1642680,0.133,0.097,0.007,2,14940.46,0.0031
Zigong,2003,0.062,0.5,721.02,2027893,0.112,0.166,0.006,2,10752.42,-0.0005
Chengdu,2003,0.035,0.494,858.6,18708046,0.13,0.129,0.003,29,15274.5,0.0139
Sanya,2003,0.012,0.096,262.58,411659,0.127,0.193,0.002,1,11579.96,-0.0037
Chongzuo,2003,0.004,0.074,131.39,1064853,0.083,0.179,0.001,0,9548.47,0.0019
Laibin,2003,0.036,0.268,182.04,1192224,0.102,0.235,0.001,1,11352.87,-0.0069
Hechi,2003,0.042,0.306,113.7,1432723,0.069,0.246,0.002,1,11218.41,0.005
Hezhou,2003,0.036,0.392,176.48,1149806,0.105,0.249,0.002,1,10570.03,-0.0077
Baise,2003,0.023,0.293,101.78,1625228,0.134,0.235,0.001,2,11917.02,0.0013
Yulin,2003,0.041,0.285,459.22,2447588,0.083,0.28,0.001,1,10360.77,0.0032
Guigang,2003,0.028,0.25,443.48,1343959,0.11,0.302,0.001,0,9718.14,0.0003
Qinzhou,2003,0.036,0.222,310.56,1553338,0.058,0.219,0.002,1,9194.21,0.0039
Beihai,2003,0.05,0.241,439.83,1401429,0.118,0.199,0.002,3,11655.93,0.0007
Guilin,2003,0.039,0.335,176,3882878,0.098,0.198,0.003,7,12278.62,0.0008
Deyang,2003,0.039,0.514,639.22,3553762,0.123,0.153,0.002,3,14013.07,0.0005
Qujing,2003,0.041,0.379,194.16,2816110,0.096,0.248,0.002,1,12975.21,0.0163
Yuxi,2003,0.008,0.277,135.35,2864738,0.04,0.198,0.003,2,13678.82,0
Baoshan,2003,0.038,0.237,121.84,873000,0.082,0.241,0.003,1,11157.77,0.0009
Karamay,2003,0.015,0.786,32.05,2162707,0.051,0.188,0.006,1,21851.06,-0.0041
Rizhao,2003,0.04,0.425,524.44,3116700,0.165,0.233,0.003,2,10226.81,0.0015
Shizuishan,2003,0.058,0.599,129.27,692109,0.147,0.148,0.002,0,12112.25,-0.0104
Xining,2003,0.037,0.382,267.41,1448328,0.137,0.178,0.001,9,14629.32,0.002
Dingxi,2003,0.03,0.218,145.77,560458,0.1,0.25,0.003,2,10951.53,-0.0036
Qingyang,2003,0.049,0.186,94.31,896916,0.106,0.235,0.003,2,10849.69,-0.0035
Jiuquan,2003,0.032,0.362,4.73,1066855,0.1,0.161,0.004,1,14526.03,0.0011
Pingliang,2003,0.043,0.37,199,806051,0.111,0.223,0.003,1,11046.25,-0.0031
Zhangye,2003,0.034,0.242,30.25,837640,0.102,0.184,0.004,2,9996.86,-0.0068
Wuwei,2003,0.036,0.222,56.29,900107,0.118,0.244,0.001,1,8949.95,-0.0045
Tianshui,2003,0.075,0.379,241.42,1080145,0.105,0.205,0.001,3,9585.84,0
Baiyin,2003,0.038,0.565,82.07,1053445,0.113,0.22,0.001,0,11695.26,-0.0032
Jinchang,2003,0.053,0.682,51.74,541581,0.152,0.14,0.002,0,15095.15,0.0006
Jiayuguan,2003,0.048,0.809,55.78,317731,0.12,0.025,0.001,0,17313.81,0.0169
Zhaotong,2003,0.073,0.231,220.35,1212560,0.066,0.28,0.003,1,11646.5,0.0046
Lijiang,2003,0.026,0.141,52.73,414050,0.126,0.196,0.008,1,12444.18,0.0033
Lincang,2003,0.038,0.181,88.67,731542,0.105,0.243,0.003,1,11608.73,0.0011
Xi'an,2003,0.05,0.456,717.8,9416000,0.135,0.141,0.002,37,13504.76,0.0084
Tongchuan,2003,0.023,0.618,216.33,486850,0.115,0.205,0.002,0,9222.18,-0.0022
Baoji,2003,0.039,0.482,202.01,2611200,0.126,0.246,0.005,2,10681.06,-0.0012
Liuzhou,2003,0.034,0.494,188.68,3266706,0.119,0.142,0.003,6,14175.7,-0.0008
Xianyang,2003,0.029,0.467,474.61,2876431,0.119,0.271,0.001,10,10011.64,0.006
Yan'an,2003,0.038,0.303,55.51,1427600,0.139,0.17,0.002,1,11294.91,0.0104
Hanzhong,2003,0.031,0.38,136.57,1634440,0.091,0.268,0.002,1,9422.34,0.0029
Yulin,2003,0.035,0.197,79.9,1381020,0.143,0.275,0.003,2,10166.57,0.0002
Ankang,2003,0.041,0.217,124.98,1036010,0.083,0.262,0.003,3,10002.62,0.0013
Shangluo,2003,0.018,0.263,123.11,755900,0.093,0.329,0.003,1,8864.52,0.0115
Lanzhou,2003,0.02,0.549,232.58,4400803,0.11,0.168,0.004,19,13488.64,0.0083
Weinan,2003,0.033,0.403,406.53,2074610,0.082,0.277,0.003,2,9379.53,0.0029
Chaozhou,2003,0.025,0.39,800.64,2364556,0.1,0.241,0.001,1,10679.4,-0.0014
Jingzhou,2003,0.06,0.28,460,3899800,0.078,0.255,0.003,6,8507.26,-0.0142
Xiaogan,2003,0.031,0.444,571.17,3435500,0.09,0.249,0.003,2,8017.1,-0.007
Jingmen,2003,0.036,0.351,242.34,3275115,0.094,0.211,0.002,2,9598.14,-0.0104
Ezhou,2003,0.118,0.558,655,1257000,0.106,0.187,0.004,1,8242.54,0.0068
Yichang,2003,0.049,0.476,188.56,4913566,0.095,0.204,0.002,2,9971.88,0.0036
Shiyan,2003,0.038,0.522,144,2423400,0.041,0.209,0.001,5,13849.04,0.0015
Huangshi,2003,0.037,0.552,554,2736400,0.102,0.216,0.003,2,10378.41,0.0013
Wuhan,2003,0.046,0.444,919.7,16621797,0.121,0.149,0.008,48,13729.79,0.0041
Zhumadian,2003,0.031,0.242,548,3457143,0.012,0.24,0.003,2,7759.08,0.0049
Zhoukou,2003,0.015,0.268,898.64,4034625,-0.034,0.25,0.003,2,6330.82,0.0119
Xinyang,2003,0.022,0.283,402.08,3471173,0.091,0.275,0.003,2,8217.41,0.0055
Shangqiu,2003,0.039,0.249,757,3397493,-0.001,0.241,0.002,3,6920.77,0.0041
Sanmenxia,2003,0.037,0.559,211,2245634,0.115,0.192,0.002,1,9905.03,0.0034
Luohe,2003,0.024,0.455,959,2215676,0.113,0.182,0.003,1,7914.95,0.0028
Huanggang,2003,0.034,0.24,415.4,3872350,0.074,0.245,0.003,2,7950.64,-0.0005
Xuchang,2003,0.02,0.384,895,4116846,0.128,0.198,0.003,2,8611.07,0.0042
Jiaozuo,2003,0.025,0.53,835.64,3414205,0.15,0.155,0.003,3,9607.36,0.0118
Xinxiang,2003,0.031,0.423,681.53,3789452,0.135,0.204,0.002,6,8407.3,0.0052
Hebi,2003,0.016,0.576,654,1222482,0.135,0.19,0.003,1,9173.93,0.006
Anyang,2003,0.022,0.54,719.2,3617866,0.14,0.218,0.003,3,10564.82,0.0088
Pingdingshan,2003,0.026,0.555,628,3656628,0.107,0.189,0.002,4,10367.46,0.006
Luoyang,2003,0.028,0.474,420.26,6863165,0.166,0.161,0.001,4,10745.19,0.005
Kaifeng,2003,0.046,0.336,739.76,2820917,0.064,0.17,0.002,3,7703.57,0.0023
Zhengzhou,2003,0.022,0.48,870,11022770,0.148,0.134,0.002,30,13537.99,0.0072
Heze,2003,0.037,0.201,714.55,2901000,0.123,0.226,0.002,2,7778.49,0.0004
Binzhou,2003,0.031,0.567,387.67,4065000,0.167,0.206,0.002,4,10249.17,0.0013
Liaocheng,2003,0.021,0.445,646.88,4541900,0.164,0.21,0.004,2,9841.2,-0.0003
Dezhou,2003,0.026,0.399,527.25,5566800,0.166,0.206,0.004,2,8320.84,-0.0011
Linyi,2003,0.032,0.345,588.37,8346000,0.178,0.234,0.003,2,9885.02,-0.0018
Yunfu,2003,0.043,0.448,292.6303,2147012,0.131,0.235,0.008,1,11646.71,-0.0033
Puyang,2003,0.029,0.579,831,2650299,0.106,0.198,0.005,1,12070.19,0.0086
Xianning,2003,0.131,0.379,285,1736800,0.092,0.218,0.002,2,8469.35,-0.0086
Nanyang,2003,0.029,0.384,400,7241573,0.112,0.211,0.002,3,8774.3,0.0023
Changsha,2003,0.041,0.372,509.15,9294858,0.14,0.116,0.003,37,16987.41,0.0112
Suizhou,2003,0.072,0.27,268,1568800,0.096,0.232,0.001,1,8036.01,-0.0014
Qingyuan,2003,0.03,0.375,178.985,1967999,0.139,0.285,0.004,0,13959.47,-0.0012
Yangjiang,2003,0.191,0.404,290.9105,2328630,0.126,0.226,0.003,1,10715.1,0.0064
Heyuan,2003,0.048,0.341,162.8775,1368518,0.169,0.25,0.005,1,12495.5,-0.0098
Shanwei,2003,0.048,0.26,506.6401,1869331,0.13,0.233,0.004,1,11437.96,0.0033
Meizhou,2003,0.052,0.293,252.2841,2270363,0.104,0.229,0.023,1,11867.78,0.008
Huizhou,2003,0.02,0.691,315.7107,5909772,0.139,0.182,0.005,1,13266.18,0.0188
Zhaoqing,2003,0.03,0.432,240.4214,4663914,0.114,0.22,0.011,2,13069.37,-0.0018
Maoming,2003,0.047,0.319,490.9146,6572548,0.113,0.269,0.002,1,12439.18,-0.0054
Dongguan,2003,0.015,0.425,2658.215,9479654,0.195,0.214,0.002,1,22598.69,0.013
Jiangmen,2003,0.089,0.543,426.035,7300825,0.111,0.206,0.005,1,12405.1,0.0074
Foshan,2003,0.017,0.531,1466.4193,13815951,0.161,0.16,0.018,3,17641.59,0.0146
Shantou,2003,0.023,0.385,2355,5269693,0.088,0.226,0.011,1,11959.87,-0.0002
Zhanjiang,2003,0.039,0.298,517.373,5209716,0.101,0.214,0.002,3,12035.02,-0.0066
Guangzhou,2003,0.026,0.45,1308.6866,34968787,0.152,0.102,0.006,44,28804.83,0.0134
Zhongshan,2003,0.01,0.563,1344.2288,5014043,0.186,0.17,0.003,1,20377.65,0.0069
Shaoguan,2003,0.047,0.473,155.7085,2680300,0.129,0.206,0.002,2,13974.68,0.0006
Xiangtan,2003,0.044,0.543,562.37,2676868,0.112,0.136,0.003,4,11933.76,0.0008
Hengyang,2003,0.046,0.405,466.3,4454628,0.101,0.189,0.002,5,10688.34,0.0015
Shaoyang,2003,0.034,0.318,351.58,2850856,0.093,0.22,0.001,2,9929.41,0.0041
Yueyang,2003,0.055,0.317,354.34,4951877,0.108,0.174,0.002,1,11012.26,-0.0016
Changde,2003,0.053,0.261,329.96,4865833,0.113,0.196,0.002,3,12526.8,-0.0021
Zhuzhou,2003,0.039,0.5,331.44,3830868,0.111,0.139,0.002,7,13452.52,-0.0111
Yiyang,2003,0.05,0.2,375.91,2396731,0.094,0.245,0.002,1,8908.46,0.0021
Chenzhou,2003,0.043,0.319,234.82,3242609,0.113,0.204,0.002,3,12129.66,0
Yongzhou,2003,0.042,0.248,255.85,2803566,0.106,0.233,0.002,3,10290.77,-0.0028
Huaihua,2003,0.061,0.26,178.44,2496138,0.098,0.211,0.001,4,10623.63,-0.0002
Loudi,2003,0.053,0.407,497.59,2112509,0.09,0.215,0.003,3,11001.49,0
Zhangjiajie,2003,0.043,0.202,165.44,819087,0.103,0.217,0.002,2,12284.87,-0.0027
Zhoushan,2004,0.031,0.385,672.99,2120391,0.17,0.005,0.159,3,22250.33,-0.0017
Taizhou,2004,0.022,0.447,590.71,11737943,0.136,0.008,0.251,3,24881.9,0
Lishui,2004,0.025,0.28,144.91,2645690,0.149,0.007,0.236,2,22917.46,-0.0032
Wuhu,2004,0.064,0.569,677,3450746,0.146,0.001,0.173,10,14165.54,0.006
Maanshan,2004,0.05,0.645,737.78,2650950,0.377,0.002,0.108,2,20948.14,0.0055
Huainan,2004,0.049,0.637,903.6,2144900,0.152,0.001,0.145,5,16973.18,0.0031
Huaibei,2004,0.042,0.677,763.92,1691300,0.157,0.002,0.195,2,13381.86,0.0006
Tongling,2004,0.051,0.598,643.58,1367200,0.175,0.004,0.121,3,12761.71,0.0041
Anqing,2004,0.055,0.257,392.34,3920200,0.125,0.002,0.26,2,11207.32,-0.0004
Huangshan,2004,0.038,0.27,149.23,1319800,0.122,0.002,0.164,1,12716.97,0.0003
Bengbu,2004,0.069,0.341,582.95,2636600,0.165,0.002,0.252,4,12282.19,0.0003
Quzhou,2004,0.039,0.456,277.81,2837600,0.152,0.003,0.23,1,22501.65,-0.005
Nantong,2004,0.035,0.518,967.12,12260619,0.156,0.003,0.183,6,15903.7,-0.0027
Shaoxing,2004,0.032,0.637,526.55,13138654,0.153,0.009,0.231,4,21579.85,-0.0011
Suzhou,2004,0.036,0.654,705,34500000,0.176,0.002,0.112,13,22510.32,0.013
Chuzhou,2004,0.044,0.354,320.56,3556400,0.104,0.003,0.266,4,10062.15,-0.0007
Lianyungang,2004,0.052,0.325,625.08,4163600,0.139,0.004,0.196,3,12714.62,-0.0004
Huai'an,2004,0.049,0.371,520.31,5009700,0.138,0.001,0.178,6,12171.02,0.0005
Yancheng,2004,0.043,0.374,532.79,8713600,0.14,0.002,0.295,4,11951.14,-0.0033
Yangzhou,2004,0.045,0.497,684.79,7881300,0.147,0.002,0.203,5,15733.36,0.0006
Jinhua,2004,0.028,0.439,413.72,9783771,0.162,0.006,0.254,6,23261.96,-0.0004
Zhenjiang,2004,0.035,0.456,694.59,7811600,0.147,0.004,0.178,5,17382.93,-0.0006
Suqian,2004,0.048,0.336,609.47,3355900,0.138,0.001,0.207,1,10339.74,-0.0008
Hangzhou,2004,0.041,0.374,392.67,25150000,0.15,0.004,0.157,36,28891.25,0.0102
Ningbo,2004,0.031,0.547,590.17,21580377,0.155,0.003,0.121,14,25823.13,0.0052
Wenzhou,2004,0.023,0.627,633.22,14025726,0.141,0.007,0.286,5,19576.24,-0.0014
Jiaxing,2004,0.032,0.657,853,10505564,0.165,0.008,0.223,8,20700.97,0.001
Huzhou,2004,0.03,0.497,442.09,5906926,0.154,0.003,0.224,3,22024.66,0.0006
Taizhou,2004,0.042,0.449,868.19,7052000,0.147,0.003,0.237,5,13190.02,-0.003
Fuyang,2004,0.016,0.249,939.85,2633200,0.104,0.002,0.239,2,9727.38,0.0069
Weifang,2004,0.038,0.493,536.4,12464100,0.169,0.003,0.263,9,12299.17,-0.0022
Lu'an,2004,0.057,0.291,375.58,2531000,0.14,0.003,0.289,3,10216.04,0.0007
Jining,2004,0.04,0.488,750.87,11021600,0.172,0.002,0.194,5,13515.3,-0.001
Changzhou,2004,0.035,0.514,797.65,11006100,0.155,0.002,0.15,9,19984.23,0.0055
Yantai,2004,0.036,0.537,470.55,16308949,0.175,0.002,0.169,7,15509.48,0.0007
Dongying,2004,0.019,0.671,225.71,8925300,0.172,0.029,0.195,6,24264.71,0.0043
Zaozhuang,2004,0.04,0.498,802.4,5033100,0.172,0.004,0.182,1,12870.78,0.0015
Zibo,2004,0.038,0.614,698.87,12309600,0.17,0.011,0.176,8,15083.33,0.0004
Qingdao,2004,0.019,0.631,686,21638000,0.168,0.002,0.161,25,17263.76,0.0097
Jinan,2004,0.042,0.485,5878,16188729,0.156,0.003,0.135,58,17980.9,0.0087
Shangrao,2004,0.09,0.263,276,3010663,0.145,0.002,0.238,5,10362.5,0.0033
Fuzhou,2004,0.041,0.311,201.14,2041762,0.136,0.002,0.197,2,8732.58,-0.0025
Yichun,2004,0.037,0.328,285,2895167,0.13,0.002,0.197,2,10918.54,-0.0025
Ganzhou,2004,0.032,0.337,215,3980147,0.13,0.003,0.172,5,9997.43,-0.0109
Yingtan,2004,0.041,0.419,302,963748,0.168,0.002,0.142,1,12929.42,-0.0142
Xinyu,2004,0.011,0.349,346,1340000,0.165,0.003,0.147,1,13282.89,-0.0005
Suzhou,2004,0.04,0.341,612.65,2791206,0.141,0.002,0.289,4,10572.18,0.0017
Jiujiang,2004,0.045,0.43,246.94,3567621,0.152,0.003,0.18,4,10618.69,-0.0097
Jingdezhen,2004,0.041,0.51,291,1651237,0.158,0.003,0.186,3,10889.58,-0.0017
Nanchang,2004,0.037,0.435,603,7704622,0.165,0.003,0.128,41,15589.09,0.0179
Ningde,2004,0.043,0.264,242.89,3090407,0.11,0.005,0.286,1,13957.16,-0.0052
Longyan,2004,0.054,0.416,150.65,3492257,0.106,0.004,0.247,2,14806.54,-0.006
Nanping,2004,0.057,0.371,115.83,3216960,0.111,0.004,0.247,1,12167.26,-0.005
Zhangzhou,2004,0.028,0.508,361.54,7020241,0.116,0.003,0.233,3,11964.81,-0.0021
Quanzhou,2004,0.006,0.755,612.26,16029716,0.142,0.004,0.28,14,14464.48,-0.0018
Sanming,2004,0.058,0.418,116.7,3758431,0.103,0.005,0.261,2,15052.92,-0.0059
Putian,2004,0.018,0.636,744.5,3084822,0.13,0.006,0.368,1,12652.4,-0.0035
Fuzhou,2004,0.022,0.551,509.18,15484561,0.13,0.006,0.216,29,16585.3,0.0034
Xuancheng,2004,0.029,0.347,220.82,2356600,0.104,0.002,0.232,1,12797.97,-0.0024
Chizhou,2004,0.049,0.273,187.86,924253,0.13,0.001,0.233,2,12015.06,0.0007
Bozhou,2004,0.034,0.242,651.62,2246429,0.121,0.001,0.267,2,9706.6,0.0009
Pingxiang,2004,0.056,0.474,474,1725560,0.181,0.003,0.136,1,12334,-0.0066
Xuzhou,2004,0.041,0.397,814.4,10958000,0.14,0.003,0.198,7,15808.57,0.0041
Fushun,2004,0.066,0.586,199.5,3750016,0.15,0.004,0.121,3,13913.34,-0.001
Nanjing,2004,0.038,0.423,886.66,19100000,0.173,0.007,0.11,38,26063.35,0.0186
Bayannur,2004,0.049,0.253,27.62,1894893,0.215,0.006,0.168,1,10994.31,-0.0137
