City_Name,Year_T,Unempl_Rate,Prop_in_Sec_Ind,Pop_Density,GRP,GRP_Growth,Prop_of_Sci_Exp,Prop_of_Edu_Exp,Num_of_School,Avg_Income,Net_Flow_T+1
Tangshan,1997,0.008,0.374,511,7108752,0.174,0.004,0.095,4,6028,-0.0033
Shijiazhuang,1997,0.003,0.334,543,7813998,0.158,0.006,0.164,10,6256,0.0026
Beijing,1997,0.005,0.393,724,18100900,0.096,0.002,0.229,65,11018,-0.0006
Langfang,1997,0.001,0.267,572,2820730,0.162,0.008,0.112,3,5375,0.0068
Dalian,1997,0.018,0.355,430,8290000,0.121,0.004,0.076,13,7855,-0.0007
Anshan,1997,0.018,0.498,367,4360287,0.095,0.007,0.082,3,5566,-0.0049
Fushun,1997,0.017,0.483,210,1928821,0.119,0.004,0.113,3,4993,-0.006
Daqing,1997,0.012,0.314,115,5839460,0.082,0.005,0.047,1,9474,0.0023
Shuangyashan,1997,0.051,0.319,66,752130,0.09,0.002,0.191,0,3259,-0.0152
Hegang,1997,0.042,0.478,76,556378,0.059,0.002,0.181,0,4451,-0.0059
Jixi,1997,0.033,0.413,86,1008181,0.115,0.004,0.154,4,4194,-0.0014
Qiqihar,1997,0.011,0.207,130,2563559,0.12,0.005,0.179,4,4135,-0.0065
Harbin,1997,0.017,0.314,172,7462006,0.116,0.009,0.107,23,5118,0.0027
Baicheng,1997,0.005,0.172,77,606433,0.023,0.023,0.172,1,3768,-0.0067
Songyuan,1997,0.01,0.139,121,1177356,-0.01,0.002,0.178,0,6098,0.0064
Baishan,1997,0.017,0.45,74,672838,0.104,0.006,0.128,0,4366,-0.005
Liaoyuan,1997,0.01,0.33,244,491164,0.116,0.004,0.222,0,4550,-0.0074
Siping,1997,0.006,0.196,226,1480047,0.107,0.008,0.163,2,4638,0.0024
Changchun,1997,0.003,0.231,362,5412214,0.103,0.004,0.137,27,7052,-0.0004
Huludao,1997,0.017,0.265,254,1407944,0.101,0.004,0.079,0,5240,-0.0024
Chaoyang,1997,0.024,0.216,168,930988,-0.097,0.008,0.083,1,4238,-0.0032
Tieling,1997,0.012,0.244,227,1041787,0.04,0.011,0.099,1,4328,-0.0003
Panjin,1997,0.017,0.419,287,2259670,0.101,0.006,0.04,0,6992,0.0182
Liaoyang,1997,0.011,0.448,376,1451000,0.093,0.003,0.093,2,5490,0.0001
Fuxin,1997,0.027,0.292,184,627310,-0.005,0.009,0.124,2,3801,-0.0041
Yingkou,1997,0.027,0.317,411,1254525,0.09,0.011,0.135,3,4220,0.0003
Jinzhou,1997,0.014,0.348,295,1796389,0.082,0.01,0.097,5,4510,-0.0045
Dandong,1997,0.085,0.427,161,1518644,0.108,0.028,0.111,4,4108,-0.0027
Benxi,1997,0.026,0.508,186,1149000,0.093,0.004,0.125,3,5023,-0.0057
Yingtan,1997,0.024,0.162,289,395000,0.166,0.004,0.108,1,4385,0.0035
Jinan,1997,0.011,0.338,5286,7317000,0.191,0.006,0.116,18,7892,0.0013
Urumqi,1997,0.056,0.381,127,2169045,0.084,0.003,0.098,11,7702,0.0162
Zibo,1997,0.009,0.415,675,4988000,0.042,0.009,0.152,3,6416,0.0006
Zigong,1997,0.008,0.22,716,1260065,0.096,0.016,0.108,3,4830,-0.0012
Chengdu,1997,0.012,0.283,798,10070260,0.115,0.002,0.145,20,6937,0.0018
Sanya,1997,0.024,0.094,230,221084,0.042,0.009,0.241,0,7384,0.0085
Yulin,1997,0.008,0.187,426,2411548,2.612,0.006,0.283,5,41090,0.007
Guigang,1997,0.005,0.111,413,1036492,0.032,0.001,0.269,0,4508,0.0047
Qinzhou,1997,0.008,0.174,284,1273312,0.122,0.003,0.185,2,4961,0.0053
Beihai,1997,0.007,0.147,409,1120003,0.14,0.002,0.145,0,5736,0.0019
Liuzhou,1997,0.013,0.305,332,1635299,0.163,0.006,0.134,2,6637,0.0173
Panzhihua,1997,0.032,0.435,133,985476,0.094,0.011,0.052,1,7757,0.0109
Nanning,1997,0.011,0.168,280,2315969,0.133,0.007,0.102,10,6445,0.0074
Chaozhou,1997,0.004,0.361,767,1514713,-0.03,0.004,0.09,1,6522,0.0044
Zhongshan,1997,0.005,0.402,713,2209508,0.207,0.003,0.27,1,11037,0.0074
Dongguan,1997,0.007,0.451,597,2947037,0.178,0.007,0.162,1,10693,0.0068
Qingyuan,1997,0.005,0.14,192,1395869,0.048,0.006,0.209,0,6329,0.0068
Yangjiang,1997,0.007,0.232,313,1264759,0.102,0.007,0.131,0,6858,0.0016
